2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110621531.txt,"despair,violence,chaos,dark,sad,disappointed,",+0.1
2024110621041.txt,"victory, strength, professionalism, tenacity, unifying, happy, wonderful, unite, peace, favorite,","losing, didn't, worst, bad, ewwww, ick, wrong, abysmally, impersonate, off, concede, concession,",-0.3
2024110620411.txt,successful,"concession, cancelled",-0.1
2024110620571.txt,"victory, improving, majority, gains, signal, correct, strides, increased, carried, victorious, unite, bonus, paid, critical, intense, advantage, helped, common-sense, modulate, decide, vowing, longtime","abuse, accused, adversary, gamble, negative, disappointed, outraged",-0.1
2024110620573.txt,"lively, honor, promises, hopes, supporters, majority, effective, improve, governance, mission, nonprofit, in-depth, nonpartisan, research, improve, policy, governance, levels","conflict, inflation, strife, backlash, fails, aroused, price, challenged, massive, costs, uncertain, deport, blow, civil, fail,",-0.2
2024110704572.txt,"proud, peaceful, support, advance, priorities, values, collaborative, free, fair, congratulate, victories, OK, win, important, better, possible, good, sound, strengths, protect, autonomy, resolute, promise, bright, commitment, unity,","sad, disappointed, tears, impossible, unhappy, disagreements, concede, fight, contentious",+0.3
2024110623132.txt,"unified, remarkable, purpose, leading, advocate, concerted, leaders, gift, friends, family, Copyright","limitations, flamed, languished, writing, overturned, departure, convicted, crimes, defeat, steep, restless, unpopular, struggled, skeptical, unclear, impacts",-0.1
2024110623443.txt,"remarkable,unified,purpose,advocate,concerted,leaders,enhanced,better,leaders","stumbled,badly,flamed,limitations,languished,writing,overturned,steep,restless,unpopular,skeptical,defeat,restless,unpopular,limited,unclear,impacts",-0.2
2024110704573.txt,"secure, majority, historic, congratulated, importance, committed, smooth, progress, significant, winning, importance, peaceful, power","concede, dropped, lost, interference, issues, appeal, trial, criminal, mired",+0.2
2024110620572.txt,"best,unifying,building,opportunity,opportunities,successful,enhance,competence,character,upside","harshly,negative,disapproval,abandoned,tardy,deprived,difficulties,flawed,angry,poor,danger,threats,charge,problems,spurned,unpopularity,refused,blurred,radical,dependent,afraid,tough,oblivious,defeat,recriminations,defeat",-0.8
2024110623593.txt,"advocated, dynamic, protection, rebuild, priorities, access, appropriate, premium, improvements, proud, expanding, opportunities, services, investments, true, forgiveness, relief, attempt, eradicating, affects, invited, celebration, gathered, advice, intimate, importance, facilitated, blessings, special, responsibility, fortune, blessing, unique, ability, best, requiring, lead, learned, broad, imagined, opportunity, understand, opportunity, celebration","stricter, demanding, gap",+0.8
2024110619141.txt,"president, peaceful, historic, strength, professionalism, tenacity, unifying, first-rate, historic, impact, protecting, performance, relevant, enhanced, functionality, personalisation","concede, violent, unprecedented, obstacles, painful, hard, battleground, not, moderated, edited, Bye, less, not, not, not, block, not, not, not, not",-0.2
2024110710401.txt,"victory, supportive, confidence, better, inspire, right, better, extraordinary, loyal, trying, persuade, elect, trying","wreaked, havoc, cost, bums, foolish, wrong, inexact, blame, infirm, decline, absurd, disapproved, wrong, irregular, away, conspiratorial, debacle, untenable, impossible, headwinds, unpopularity, weight, limitations",-0.5
2024110619592.txt,"functionality, security, effectiveness, improve, experience, insights, preferences, relevant, interests, share, ability, relevant, preferences, manage","block, reject, impact",+0.2
2024110622061.txt,"enthusiasm, progressive, progressive, progressive, progressive, victory, victory, winning, winning, vital, power","problem, problem, stark, ceded, claw, caught, fire, drifted, criticism, misguided, fraying, failure",-0.3
2024110520341.txt,"elevate,groundbreaking,legendary,clear,excited,qualified,hope,flawless,grew,crushed,even,groove,instinct,orderly,love,","confront,inequities,late,nervous,disappointed,fatalistic,let down,ignored,betrayed,bulletproof,assassination,untested,vanish,convicted,felon,relate,sputtered,stunned,",+0.3
2024110622471.txt,"winner, love, love, full, proud, victory, willing, accept, peaceful, democracy, loyalty, freedom, justice, kindness, respect, strength, lift, ok, win, sparkling, eager, protect, access,","end, unable, loss, defeat, violent, riot, boos, critique, demands, fight, swamped, inflammatory, attacks, enemy,",-0.2
20241107031011.txt,"good, great,","fraud, harsh, crackdown, violence,",-0.3
2024110623592.txt,"accessible,acclaimed,achievement,amazing,appreciated,attractive,awesome,beautiful,beloved,beneficial,best,brilliant,capable,charismatic,classic,comfortable,confident,considerate,constructive,creative,credible,decisive,delightful,dependable,desirable,devoted,dignified,diligent,divine,dynamic,eager,earnest,effective,effortless,elegant,elite,embrace,empower,energetic,engaging,enjoyable,enthusiastic,excellent,exceptional,exciting,extraordinary,fabulous,faithful,fantastic,fascinating,favorite,fearless,flawless,flexible,flourish,fortunate,friendly,fun,generous,genius,genuine,gifted,glorious,good,graceful,gracious,grand,great,groundbreaking,happy,harmonious,healthy,heartfelt,heroic,honest,honorable,hopeful,ideal,immaculate,impressive,incredible,inspired,invincible,irresistible,joyful,jubilant,kind,knowledgeable,legendary,liberating,lively,lovable,lovely,loyal,luminous,majestic,masterful,meaningful,memorable,mighty,motivated,noble,nurturing,outstanding,passionate,peaceful,perfect,phenomenal,playful,poised,positive,powerful,praiseworthy,priceless,proactive,productive,prosperous,proud,radiant,reassuring,refreshing,reliable,remarkable,resilient,resourceful,respectful,rewarding,rich,romantic,satisfied,secure,sensational,serene,skilled,smart,special,spectacular,spirited,splendid,stellar,successful,superb,supportive,talented,terrific,thrilling,thriving,timeless,top-notch,trustworthy,unique,unstoppable,uplifting,valued,vibrant,victorious,virtuous,visionary,warm,wealthy,welcoming,well-being,wholehearted,wise,wonderful,worthy,zealous,zestful","abuse,accusation,accuse,accusingly,ache,acrimonious,admonish,afflict,affliction,afraid,aggravate,aggravation,aggression,aggrieved,alarm,alienate,allegation,anger,anguish,animosity,annihilate,annoy,annoying,anxiety,anxious,apathetic,apathy,appall,appalling,apprehension,arrogance,arrogant,ashamed,asinine,assail,assault,atrocity,audacious,austere,avarice,awful,awkward,backbite,backward,bad,baffle,barbaric,baseless,bash,battered,betray,bewilder,bias,blame,bleak,bloated,bloody,blunder,boastful,brash,breakdown,bribe,brutal,bully,bungle,burnt-out,busybody,callous,cancerous,careless,chaos,cheat,cheesy,choke,clumsy,coerce,collude,combat,complacent,complain,complicated,concede,conceited,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",+0.8
2024110710402.txt,"capable, special, improvement, eagerly, star, best, useful,","cautious, mercenary, messy, tedious, deafening, rebuked, dead, dead, dead, dead, dead, slashing,",-0.3
2024110710589.txt,"great, remarkable, hoped, peaceful, progress, good, grace, astonishing, gratitude, proud, opportunity, fairness, dignity, freedom, opportunity, fairness, dignity, freedom","enmity, insulting, evil, sick, crazy, suffering, degeneration, struggles, headwinds, immune, shock, defeat, booed",-0.2
2024110619591.txt,"victory, peaceful, hopes, strength, professionalism, tenacity, unifying, victory, commitment, smooth, congratulate, congratulations, supporters, alma mater, victory, breaking, interactive, full, use, use, allow, use","concede, unlike, breaking",+0.5
2024110621581.txt,"despair,grim,refusal,dejected,subdued,exodus,spoiling,painful,hard,blow,declined",+0.2
2024110622063.txt,"incredibly, popular, strategic, critical, seriously, true, protection, support","loss, lost, disastrous, pain, alienation, powerful, bumps, disturbing, trouble, conflict, refused, war",-0.3
2024110710588.txt,"congratulations,congratulating,prosperity,respect,pray,bless,praised,free,victory,fit,smiling,historic","protesters,falling,slammed,undemocratic,reboot,defaming,somber,defeated,tearful,weep,shocked",-0.1
2024110700002.txt,"improve, popular, relevant, necessary, enhanced, functionality, personalisation, preferences, enable, services,",none,+0.2
2024110622472.txt,"brilliant,brilliant","challenges,dark,dark",-0.2
2024110619231.txt,congratulations,conceded,-0.1
2024110701442.txt,"vision, strengths, advantage, massive, philanthropist, choice, democracy","waste, grievances, bureaucracy, weaknesses, issues, loss, burnish, insular, conformity, lost, tedious",-0.3
2024110703241.txt,"hope,joy,celebrate,electric","loss,disappointment",+0.2
2024110619594.txt,"interactive,smart,information,analytics,preferences,contact,legal,requirements,security,prevention,capabilities","vary,disable,remove,consequences,disable,remove,block",-0.2
2024110620472.txt,"praise, polished, best, massive, massive, bigger, strategic, tactical, insurmountable, aligned, inevitable, unmistakable, overwhelming, victory, tough, choice, beat, gigantic","wasted, lefty, distanced, nothing, granted, hindsight, argument, replace, soul-searching, doomed, suffering, rage, obstacle, fail, flawed, inevitable, concerns, inflation, misogyny, ignore, unpopular, destroyed, shrinking",-0.2
2024110701331.txt,"extraordinary, enthusiastic, warm, charismatic, optimistic, freedom, resonate, effective,","anxious, distrust, complacency, cynical, discomfort, misogyny, toxic, recriminations, inability, exploit,",-0.1
2024110617382.txt,"remarkably, historic, congratulated, importance, uniting,","convicted, criminal, disastrous, attacking, criticizing, inflation,",+0.1
2024110623594.txt,"exclusive, great, responsibility, potential, brighter, first, vision, self-belief, beloved, hopefully, extraordinary, competence, commitment, best, high, lead, effort, ok, responsibility, serving, experts, answer, reserved",none,+0.8
2024110703108.txt,"brilliant, benefit, optimism, faith, truth, service, freedom, future, win, important, better, dreams, ambitions, aspirations, democracy, victory, peaceful, power","crisis, dark, dark, fight, loss, hurt, fight, fight, fight, loss, boos",-0.1
2024110701441.txt,"eager, strong, competitive, thoughtful, strong, strong, genuine, sincere, best, bolder, sincere,","lost, refuse, loss, misogyny, racism, refusal, loss, drawbacks, struggles, flaw, uneven, problem, unmemorable, disastrous, maligning, declining,",-0.5
2024110623151.txt,"access, peaceful, freedom, opportunity, fairness, dignity, ideals, heart, nation, organize, mobilize, engaged, justice, future, build, supporters, extraordinary, decisive, victory, power, better, place, power, improve, performance, popular,","abrupt, embattled, despair, unclear, dismay, scathing, critique, lying, refusing, slaughter, critique,",-0.1
2024110622071.txt,conceded,-0.1
2024110701332.txt,"appeal, popular, huge, majority,","unwilling, unable, inequality, impossible, nothing, wrong, anger, failed, exhausted, unable, unwilling,",-0.7
2024110617381.txt,"better,gratitude,love,peaceful,distinguishing,loyalty,strength,professionalism,tenacity,unifying,","despair,deflated,distressed,tyranny,stormed,decisive,defeat,shattered,unfit,threat,underperforming,insurmountable,",0.0
2024110620061.txt,"decisive, victory, historically, clear","conceding, hard-fought",-0.1
2024110703109.txt,"empowered, bright, upbeat, cheers, freedom, win, winner, hopeful, leaders, good, mainstay","lost, conceding, forlorn, painful, pain, hard, unfathomably",-0.1
2024110701078.txt,"won,won,victories,strongholds,strongholds,easily,nation's","fatal,flaws,doomed",-0.1
2024110703104.txt,"success,peaceful,cornerstone,responsibility,common,congratulated,sincere,congratulations,pray,authority,urge,praying,reflection,values,dreams,character,core,victory,formidable,prime,concern,prevailed,complete","warned,protracted,critic,ensure,contempt,questioning,delusional,fractured,grievances,concerned,unchecked,upheaval",-0.1
2024110701075.txt,"congratulated, victory, commended, hopeful, gratifying, secure, warm, cordial, victory, well, wishes, congratulations, appreciate, commitment, strength, peace, closer, vindication, powerful, won","nix, bias, minority, stepping, beating, threat, broke, war, cut, scandal, criminal, prosecutions, impeachments, insurrection, dire, warnings, rejected, abandoned, insurrection, convicted, felon",-0.1
2024110618281.txt,"victory, healthy, excellent, enjoy, miracle, joy, well, excellent, improved, pro-worker, affluent,","blamed, lazy, wrong, corrosion, wrong, wrong, wrong, wrong, ungrateful, boneheaded, wrong, wrong, wrong, wrong, wrong, bogeyman, bad, flammable, low, low, blow, combustible, flames, angry, peeled, fury, defenders, worried",-0.3
2024110620291.txt,"decisively, compelling, justified, hopeful, clean, disciplined, strong, appealing, patiently, meaningful","disaster, miserable, repugnant, misery, angry, failed, refused, flawed, wrong, uncomfortable, crazy, alienated, dissatisfied, disliked",-0.5
20241107105814.txt,"peaceful,importance,represents",none,+0.2
2024110710583.txt,"good, excited, authentic, brilliant, powerful, important, real, genuine, complete, champion, strong, brilliantly, overwhelming, support, happier, commitment, support, great, accomplished,","dead, tired, destroying, enough, overwhelming, mandate, battleground,",+0.3
2024110622082.txt,"freedom, forward, motion, change, help, win, possible, insight, necessary, deserved, improve, performance, popular,","expensive, aggrieved, alienate, misogyny, racism, complicated, dire, blame, poison, grifter, fail, anemic, failure, suffer, hurt, wreckage, sacrifice, problem, vulnerable, wolves,",-0.5
2024110709561.txt,"victory, ideals, peaceful, promise, bright, freedom, thank, supporters, respect, benefit, strength, professionalism, tenacity, unifying, congratulated, historic, heal, work, bright","defeated, despair, insults, fascist, threat, dark, grief, sombre, hopeless, lost",-0.1
2024110623411.txt,"independent, great, progressive, champion, strong, opposition, well, freedom, opportunity, fairness, dignity, ideals, heart, best","disastrous, scathing, disastrous, abandoned, abandoned, angry, instability, inequality, lack, criticized, extremist, war, disaster, malnutrition, starvation, doubt, pain, alienation, powerful, control, serious, fight, fight, breaking",-0.5
2024110710031.txt,"determination, elation, hope, determination, qualified, bright, motivated, leadership, recognition, support, redemption, vindication","defeat, worst, bleak, worry, painful, felonies, lies, falsehoods, disparaged, brutal, anger, crushing, racism, sexism, controversy, missteps, suspicions, loss, feared, failed",-0.6
2024110622083.txt,"enhanced, functionality, personalisation, relevant, capable, enable, share,","properly, impact,",-0.1
2024110618451.txt,"extraordinary, honor, victory, freedom, prosperity, opportunity, congratulations","concede, radical, violent, crime, rejected",-0.2
2024110710582.txt,"agreed, cooperation, exceeded, responsibility, significant, victory, entrusted, safeguard, freedom, protect, heart, anticipate, commitment, rising, liberty, prosperity, security, energy, skill, initiative, best, forward, excitement, promise, united, historic, common, beautiful, good, resurgence, unity, positive, sanity, North Star","horrific, negative, down, reckoning, crazies",+0.3
2024110703105.txt,"victory, improve, supported, significantly, advantage, led, solutions, difference, peaceful, congratulating, pride, extraordinary, remarkable, hope, great, encouraging, necessary, orderly, sensitive","abandoned, sharply, barely, undo, lost, pollution, failed, expensive, not, problems, delay, holding, limiting, sensitive",-0.1
2024110611273.txt,"successful,win,organised,reliable","suffer,dirty,hostile,worst,defeated,protest,exhausted,fatigued,burned,less safe,arrested,felony,vengeance,fear,repression,harsh,enemy,threatened,fascism,threatens,tired,worn,fear",-0.8
2024110701074.txt,"congratulations,extraordinary,opportunities,success,good,love","intense,extreme,limiting,deportation,distanced,concede,narrowed,corruption,sued,refuted,resignations,cancellation",-0.2
2024110701076.txt,"victory, exclusive, ready, celebrate, popular, victory, resilience, good, commend, extensive,","focus, wipe, derail, uncharted, fire, controversial, retribution, deportation, hate, threats, interrupted, disruptive, evacuations, delays, hoax,",-0.3
2024110611271.txt,"historic, crucial, shattered, historic, highest, continuation, work, better-qualified, experience, service, questions, underscores,","disillusionment, defeat, loss, sexism, racism, backlash, wrath, shock, loss, fire, shattered, loss, sexist, racist, worst, loss, ingrained, racism, supremacy, deny, low, disabled, dumber,",-0.6
2024110703107.txt,"wealthy,benefit,decisive,leader,agreement,clear,ambitions,future,ideas,lead,role,passage,high-profile,solidarity,impact,safety,rights,succeeded,equity,justice,reelection,advocacy,prevention","threat,fascist,loss,wrong,disaster,divide,severe,attacks,anti,employed,remarks",-0.3
2024110620292.txt,"meaningful,good,best,successfully,perfect,plenty","break,decisively,rejecting,erred,refusing,disavow,slur,admonishment,afraid,blamed,mistake,tired,wrong",-0.3
2024110710033.txt,"cheerleader,feverishly,vision,multiracial,allies,good,advocacy,focus,goal,prospects,proved,heart,ready,better,future,continue,seat,show,advertisement","doubted,undermining,invisible,ineffective,angry,exhausted,struggled,damn,worried,worried,privilege,status,conceded,challenge,defeat,sting,underdog,dimmed",-0.2
2024110709562.txt,"decisive, victory, cheers, hero's, jubilant, victory, democracy, decisive, opportunity, respite, security","loss, criticism, failure, rising, inflation, defeat, insult, subdued, fear",-0.2
2024110710032.txt,"acclaimed,advisers,confidants,progress,favoring,free,leadership,rights,democracy,work,hailed,backbone,supported,liberal,victory,victory,investing,winning,ideal,loyal,","intense,sexism,anger,undercut,derogatory,overwhelming,rebuke,struggled,despairing,despondency,disliked,",-0.3
2024110707214.txt,"securely,properly,ensure,facilitate,enable,respect","fraudulent,problems",-0.1
2024110710581.txt,"victor, opportunity, decency, opportunity, freedom, opportunity, fundamental, freedoms, works, opportunity, unified, good, good, good,","tumultuous, loss, loss, loss, trashing, hot,",-0.1
2024110701077.txt,"advantages,formidable,important,unique,great,strides,","prohibit,illegal,oppose,dismantle,obstacles,unequal,limitations,pariah,struggled,unpopular,doomed,hovered,failed,",0.0
2024110703106.txt,"peaceful,uphold,will,fulfill,constitutional,duty,ensure,peaceful,knowledge,leaders,supporters,greatest,plan,supporter,supporters,supporters,supporters,supporters,supporter","disappointed,mistake,unlike,not,not,not,condition,anonymity,too,early",-0.1
2024110703102.txt,"accurate, significant, gold, believe, democracy, well, interesting, best, popular, prominent, strength, unremarkable, decisive, well, positive, forward-looking, proud, bigger, forward","unfounded, inaccurate, false, aftermath, sexist, risked, persistent, disputes, disputes, domination, critics, criticized",-0.1
2024110701073.txt,"kindness, respect, amazing, privilege, strong, health, strength, success, democratic, victory, success,","despair, dark, tears, devastating, devastating, divisive, criticized",-0.2
2024110701271.txt,"friendly, closer, promising, new, leadership, rallying, star-studded, endorsement, record-setting, windfall, loyal, fine, promoting, convincing, lead, concerns,","overshadowed, attack, failed, loss, despair, soul-searching, wrong, finger-pointing, questions, silent, shock, painful, hard, anxiety, disastrous, scrutiny, anti-Biden, wrong, trap, attack, disloyal, reluctance, failed, frustrations, concerns, falling, concerned,",-0.3
20241107105812.txt,"congratulated, historic, victory, strength, professionalism, tenacity, unifying, optimism, decisive, not too bad, congratulated, great, protect, defend, responsibility, managed, survive, tough, notably","indictment, unable, concerned, narrowly, lose, worried, lose, kicked, fight, not, compromise, not, challenge, fight, not, shrink, tough",-0.1
2024110710585.txt,"victory, win, favor, favoring, favoring, favor, smart,","nonsense, less, jumped, edged, lost, unfathomably, painful, blowout, animus, rejected, rejected, extremism,",-0.3
2024110622053.txt,"smile, laugh","unfulfilled, survived, did not survive, attacking, blaming, defeat, war, adversity, concerned",-0.3
2024110622052.txt,hopeful,"assault,evil,killing,destroying,alienated,rejected,unconditional,devastated,disregard,heckling,drag",-0.8
2024110701112.txt,"golden,decisively,win,","anger,worries,",-0.3
2024110707211.txt,"favourite, beauty, gifted, success, uplifting, hope, full, gratitude, love, inspire, freedom, better, power, power, positivity, calm, brilliant, brilliant, benefit, light, brilliant, stars","defeat, defeat, fight, surreal, lost, redundant, contrition, wrong, dark, stinging, rebuke, abandoned, abandoned, angry, furious, indictment, disastrous, dissenters, criticising, shallow, incoherent",-0.1
2024110622091.txt,"peaceful,freedom,opportunity,fairness,dignity,bright,brilliant,optimism,faith,truth,service,defiant,emotional,democracy,light,promise,engage,peaceful,trust,honor,encourage,barrier-breaking,possible","defeated,dark,loss,defiant,emotional,burdened,reluctant,unwillingness,unpopular,lose,defeated,charges,overturn,tyranny,crying,deterred,impossible",+0.2
2024110710584.txt,"affordable, safe, secure, proud, best, common sense, ambitions, secure, promote, opportunity, dramatically, expand, choice, restore, liberty, security, strength, prosperity, opportunity, faith, honor, privilege, grateful, decency, compassion, love, love","alienate, absurdities, misery, poverty, inflation, wokeness, alienated",+0.2
20241107105813.txt,"smiling, happy, accomplished, historic, gratitude, first-rate, peaceful, hope, work, good, leaders, collective, mission, good, look forward,","decline, difficult, hard, obstacles, painful, hard, hard, impacts, fight, hard,",+0.1
2024110710341.txt,"crushing, angry, questioning, heavy, blame, difficult, low, crisis, disastrous, abandoned, angry, bad, vilified, mistake, flip, crucial, protests, mistake,",-0.8
2024110621361.txt,conceded,-0.1
2024110703103.txt,"opportunities, appreciated, congratulatory, praised, tremendous, integrity, courage, character, extraordinary, historic, possible, strong, moral, vision, free, just, opportunities, welcomed, entrusted, important, safeguard, freedom, anticipate, commitment, rising, liberty, prosperity, security, tradition","problems, cataclysmic, disaffected, rejection, brash, disruptive, upheaval, alarming, overshadowed, tumultuous",-0.1
2024110619171.txt,"congratulated, victory, expected, confirmed, historically, decisive, win, performance, records, supported, supported, supported, contributed, latest, news,","unpopular, disapproval,",+0.1
2024110701272.txt,"winning, victory, winning, great, support, historic, decisive, victory, freedoms, preserving, joyful, highlight, protecting,","deported, failed, skirting, failures, underperformed, abandoned, angry, threat, dangers, fascist, unhinged, unstable, failure,",-0.5
2024110706441.txt,consequential,"reeling, panic, miscalculation, epic, sadly",-0.8
2024110710586.txt,"positive,proud,well,hope,forward,committed,historic,inspired,better,endure,strong,values,deliver,best,best,historic,possible,strong,free,just,opportunities,best,best,champion,lead,congratulations","conceded,loss",+0.8
2024110622093.txt,"proud, leading, campaign, covering, correspondent, covering",scared,-0.1
2024110622051.txt,"good,good,great,hope,hope,hope,peace,great,good","anger,anger,indifference,vindication,brutal,atrocities,vilify,dangers,failed,anger,assault,anti-genocide,anti-Muslim,anti-immigrant,antagonistic,flaws",-0.3
2024110707212.txt,"awesome,enhanced,improve,personalisation,precise,relevant,unique","blame,concerns,disaster,distance,failure,illegal,refusal,risk,trouble,worse",-0.3
2024110701111.txt,"congratulated,peaceful,reassure,bright,cheers,laugh,engage,peaceful,principle,democracy,OK,OK,win,win,thanking,support,benefit,hope,support,energetic,freedom,resonated","rival,fight,not,not,not,tears,refusal,concede,sad,disappointed,dark,stumbling,concerns,ruin,flooding,struck",-0.1
2024110622092.txt,"extraordinary, good, thanked, embraced, OK, OK, win, win, historic, appreciation, support, good, nice, enthusiasm, good, victory, freedom, liberation,","afraid, grimacing, tears, sad, disappointed, defeat, empty, sad, divided, silent, trailed, decline, lost, slavery",-0.1
2024110623171.txt,"accessible,quality,expert,gracious,essential,engage,peaceful,principle,memorable,affording,congratulate,remarkable,normalcy,normal,normalcy,enjoy","conceded,loss,defiant,complaint,whined,scoffed,lie,hypocrisy,disdain,damage,attack,unthinkable,affront,disdain,stick,chaotic,racist,misogynistic,fiery",-0.3
2024110710587.txt,"impressed,great,winner,improve,rich,healthy,congratulations,historic,joy,worth","corruption,criminal,trial,felony,hell",+0.3
20241107105810.txt,"comforted, okay, okay, okay, victory, victory, clear, victory, succeed, win, victory, standing, attention, choice, first, first, future, open, lead, thank, thank","fight, sad, disappointed, inability, aggrieved, angst, anxiety, rage, panic, defeat, devastated, blasted, critique, lament",-0.3
2024110701273.txt,"decisive, victory, cheers, hero's, jubilant, victory, democracy, decisive, opportunity, respite, security","rejection, unpopular, defeat, insult, subdued, fear",-0.1
2024110710342.txt,"best,flawlessly,historic,high-profile,better,freedom,justice,fair,fair","drastic,failed,unpopular,disastrous,trap,attack,despair",-0.3
2024110701071.txt,"peaceful,importance,advocacy,friend,progress,challenge,clean,majorities,control,congratulate,commitment,importance,appreciated,decisive","defeat,controversial,troubling,disaster,dangerous,foes,fought,battle,refused,fraudulent,stolen",-0.2
20241107045710.txt,"effective, preferences, relevant, manage, smart, proper, remember, inquiries, contact, privacy","exhaustive, responsible, deleted, disable, consequences, deactivation, disable, remove, function, properly",-0.2
2024110617462.txt,"hopeful,legitimate,important,celebration,potential","opportunist,stink,desperation,crisis,risk,blow,fractures,failures,funeral,obituaries,dead,declined,hide",-0.3
2024110705072.txt,"committed, factual, fair, accountable, focus, covered, full, graduated, breaking, touch, contact","forced, crime",+0.2
2024110622432.txt,"appeal, resilient, enormous, progressive, perfect, forward-looking, broader, prioritize, loyalty","disastrous, tumultuous, convicted, felon, losing, felony, assassin, controversy, racist, violent, lose, doubt, error, concerns, aggressively, disaffected, threat, grave, urged, enemies, rebuke, lost, distrust,",-0.3
2024110620231.txt,"congratulate, peaceful, glorious, optimistic, golden, destiny, popularity, optimistic, glorious, protecting, leaders, mission, win, important, enjoyed, resurgence, winning","defeated, recede, concede, disastrous, decay, stupid, lazy, dumb, unfathomably, hard, failure, turbulent, criticism, impacts, under-performed, less, failure, criticism, turbulent",-0.2
2024110612491.txt,"advocated, victory, freedom, CEOs, elite, power, significance, good, good, qualified, privilege, actively, working, unlearn, realized, opened, led, earned, accomplishments, recognized, credit, overcoming, enthusiasm, magic, win, win, win","lost, breaking, gutted, down, down, nauseating, devastating, no, sad, hurt, chokehold, defend, questioned, hurt, problem, worse, problem, lose, bad",-0.3
2024110710052.txt,"preserve, protect, improve, responsible, reformers, humility, desire, learn, increase, lower, efforts, trust, earn, overcome, salutary, diversity, encourage, updated","disapprove, discontent, criticism, ignorance, disinformation, ineffective, fester, virulent, infection, dangerous, problem, anti-system, furor, problem, daunting, opposition, skepticism, cynicism, mistakes, errors, lost, painful, drubbing",-0.3
2024110619062.txt,"fortune,fortune,necessary,personalize,personalized,personalized,relevant,improve,performance,popular","limited,skeptical,unclear,unclear,compensation,block,alert,impact,impact,unable,unable,negative",-0.3
2024110622433.txt,"loyalty, important, better, power, enhanced, functionality, personalisation","loyalty, fine, hope, important, better, power, impossible, enhanced, functionality, personalisation",+0.3
2024110710442.txt,"factual, fair, accountable, impact, high-profile, graduate, touch, contact",none,+0.3
2024110620581.txt,"improvements, help, new, welcome, good, good, good, good, thank, thank, thank, thank, thank, love, love, gratitude, trust, love, promise, bright, beloved, love, faith, support, extraordinary, proud, intentional, building, building, together, united, love, enthusiasm, joy, future, knowledge, common, congratulated, victory, peaceful, fundamental, democracy, trust, honor, loyalty, loyalty, conscience,","loss, hate, hate, weak, greed,",-0.1
